sch_type,chunk_size,threads,time
0,0,1,0.027488
0,0,1,0.027326
0,0,1,0.028957
0,0,1,0.027711
0,0,2,0.021549
0,0,2,0.020964
0,0,2,0.019143
0,0,2,0.021944
0,0,4,0.014743
0,0,4,0.013264
0,0,4,0.011101
0,0,4,0.011543
0,0,8,0.010220
0,0,8,0.007995
0,0,8,0.009112
0,0,8,0.008771
0,0,12,0.017621
0,0,12,0.006861
0,0,12,0.006860
0,0,12,0.007468
0,0,16,0.006834
0,0,16,0.006002
0,0,16,0.006318
0,0,16,0.005956
1,0,1,0.038374
1,0,1,0.025297
1,0,1,0.029117
1,0,1,0.027312
1,0,2,0.018845
1,0,2,0.021350
1,0,2,0.019082
1,0,2,0.021340
1,0,4,0.012137
1,0,4,0.011332
1,0,4,0.011705
1,0,4,0.011967
1,0,8,0.010740
1,0,8,0.008633
1,0,8,0.011416
1,0,8,0.010691
1,0,12,0.016662
1,0,12,0.007536
1,0,12,0.023191
1,0,12,0.007599
1,0,16,0.006611
1,0,16,0.006148
1,0,16,0.006254
1,0,16,0.006695
2,0,1,0.038242
2,0,1,0.027993
2,0,1,0.025981
2,0,1,0.050035
2,0,2,0.018461
2,0,2,0.018789
2,0,2,0.019146
2,0,2,0.018745
2,0,4,0.012324
2,0,4,0.011801
2,0,4,0.012565
2,0,4,0.011254
2,0,8,0.010303
2,0,8,0.007012
2,0,8,0.008151
2,0,8,0.008285
2,0,12,0.007690
2,0,12,0.007240
2,0,12,0.008329
2,0,12,0.007518
2,0,16,0.006632
2,0,16,0.006492
2,0,16,0.006050
2,0,16,0.006616
4,0,1,0.025426
4,0,1,0.025452
4,0,1,0.025565
4,0,1,0.026158
4,0,2,0.031858
4,0,2,0.028035
4,0,2,0.028428
4,0,2,0.029957
4,0,4,0.033392
4,0,4,0.030203
4,0,4,0.030665
4,0,4,0.030733
4,0,8,0.023291
4,0,8,0.024663
4,0,8,0.030211
4,0,8,0.025664
4,0,12,0.022280
4,0,12,0.021095
4,0,12,0.025146
4,0,12,0.022333
4,0,16,0.021460
4,0,16,0.020959
4,0,16,0.020978
4,0,16,0.022310
6,0,1,0.027836
6,0,1,0.026105
6,0,1,0.027498
6,0,1,0.027042
6,0,2,0.019054
6,0,2,0.019812
6,0,2,0.019299
6,0,2,0.020524
6,0,4,0.012262
6,0,4,0.017811
6,0,4,0.011480
6,0,4,0.011889
6,0,8,0.006728
6,0,8,0.010968
6,0,8,0.009931
6,0,8,0.009213
6,0,12,0.007847
6,0,12,0.007299
6,0,12,0.007561
6,0,12,0.007192
6,0,16,0.006664
6,0,16,0.016379
6,0,16,0.006512
6,0,16,0.006246
3,4,1,0.025378
3,4,1,0.025459
3,4,1,0.027870
3,4,1,0.026585
3,4,2,0.014375
3,4,2,0.013444
3,4,2,0.016086
3,4,2,0.017720
3,4,4,0.008703
3,4,4,0.009741
3,4,4,0.008491
3,4,4,0.008725
3,4,8,0.007925
3,4,8,0.008273
3,4,8,0.008394
3,4,8,0.009254
3,4,12,0.006113
3,4,12,0.010829
3,4,12,0.006510
3,4,12,0.006775
3,4,16,0.008431
3,4,16,0.007806
3,4,16,0.006806
3,4,16,0.007611
3,8,1,0.025967
3,8,1,0.025319
3,8,1,0.026924
3,8,1,0.025552
3,8,2,0.013668
3,8,2,0.014004
3,8,2,0.018159
3,8,2,0.015727
3,8,4,0.007568
3,8,4,0.008243
3,8,4,0.008958
3,8,4,0.008198
3,8,8,0.010007
3,8,8,0.007947
3,8,8,0.007362
3,8,8,0.007232
3,8,12,0.007105
3,8,12,0.007266
3,8,12,0.006197
3,8,12,0.005991
3,8,16,0.006154
3,8,16,0.008325
3,8,16,0.009056
3,8,16,0.016158
3,16,1,0.024879
3,16,1,0.026454
3,16,1,0.025574
3,16,1,0.025776
3,16,2,0.013974
3,16,2,0.013868
3,16,2,0.013591
3,16,2,0.014267
3,16,4,0.007847
3,16,4,0.007458
3,16,4,0.010457
3,16,4,0.007564
3,16,8,0.006942
3,16,8,0.006571
3,16,8,0.006578
3,16,8,0.006016
3,16,12,0.005094
3,16,12,0.005056
3,16,12,0.005276
3,16,12,0.005200
3,16,16,0.006930
3,16,16,0.006549
3,16,16,0.005988
3,16,16,0.005940
3,32,1,0.025638
3,32,1,0.027270
3,32,1,0.024358
3,32,1,0.025379
3,32,2,0.012696
3,32,2,0.017502
3,32,2,0.013211
3,32,2,0.012856
3,32,4,0.007091
3,32,4,0.008705
3,32,4,0.011521
3,32,4,0.008439
3,32,8,0.006335
3,32,8,0.006801
3,32,8,0.006446
3,32,8,0.006929
3,32,12,0.010700
3,32,12,0.012494
3,32,12,0.005164
3,32,12,0.005386
3,32,16,0.006743
3,32,16,0.006112
3,32,16,0.007114
3,32,16,0.006787
3,64,1,0.026403
3,64,1,0.025862
3,64,1,0.024471
3,64,1,0.027024
3,64,2,0.013629
3,64,2,0.014157
3,64,2,0.014308
3,64,2,0.014158
3,64,4,0.007651
3,64,4,0.011623
3,64,4,0.006896
3,64,4,0.007113
3,64,8,0.007511
3,64,8,0.007001
3,64,8,0.006958
3,64,8,0.006623
3,64,12,0.010377
3,64,12,0.005703
3,64,12,0.008617
3,64,12,0.011618
3,64,16,0.006499
3,64,16,0.006501
3,64,16,0.006059
3,64,16,0.006290
3,128,1,0.026852
3,128,1,0.025712
3,128,1,0.027215
3,128,1,0.025422
3,128,2,0.013706
3,128,2,0.013542
3,128,2,0.013746
3,128,2,0.013240
3,128,4,0.007994
3,128,4,0.010331
3,128,4,0.018499
3,128,4,0.007256
3,128,8,0.006994
3,128,8,0.007184
3,128,8,0.006830
3,128,8,0.007628
3,128,12,0.005636
3,128,12,0.008985
3,128,12,0.035098
3,128,12,0.006322
3,128,16,0.006756
3,128,16,0.005745
3,128,16,0.006629
3,128,16,0.006861
5,4,1,0.025770
5,4,1,0.027460
5,4,1,0.027764
5,4,1,0.025292
5,4,2,0.025736
5,4,2,0.027019
5,4,2,0.026726
5,4,2,0.030513
5,4,4,0.019076
5,4,4,0.020106
5,4,4,0.021261
5,4,4,0.019550
5,4,8,0.013982
5,4,8,0.019109
5,4,8,0.014413
5,4,8,0.015193
5,4,12,0.011314
5,4,12,0.012007
5,4,12,0.012046
5,4,12,0.011090
5,4,16,0.012410
5,4,16,0.016094
5,4,16,0.012613
5,4,16,0.013018
5,8,1,0.028750
5,8,1,0.024872
5,8,1,0.028753
5,8,1,0.027977
5,8,2,0.017029
5,8,2,0.017013
5,8,2,0.016873
5,8,2,0.033119
5,8,4,0.010665
5,8,4,0.011383
5,8,4,0.012245
5,8,4,0.010415
5,8,8,0.007969
5,8,8,0.008221
5,8,8,0.009734
5,8,8,0.011993
5,8,12,0.023404
5,8,12,0.033289
5,8,12,0.036474
5,8,12,0.026034
5,8,16,0.009434
5,8,16,0.010864
5,8,16,0.009368
5,8,16,0.007875
5,16,1,0.027612
5,16,1,0.033119
5,16,1,0.032505
5,16,1,0.029984
5,16,2,0.015548
5,16,2,0.023132
5,16,2,0.014538
5,16,2,0.015750
5,16,4,0.007959
5,16,4,0.008846
5,16,4,0.009029
5,16,4,0.006951
5,16,8,0.005632
5,16,8,0.005081
5,16,8,0.005235
5,16,8,0.005342
5,16,12,0.005142
5,16,12,0.004899
5,16,12,0.004995
5,16,12,0.008552
5,16,16,0.005478
5,16,16,0.005782
5,16,16,0.005271
5,16,16,0.005690
5,32,1,0.027923
5,32,1,0.024541
5,32,1,0.025157
5,32,1,0.027945
5,32,2,0.013735
5,32,2,0.013781
5,32,2,0.021640
5,32,2,0.013379
5,32,4,0.007306
5,32,4,0.006702
5,32,4,0.006990
5,32,4,0.007962
5,32,8,0.004922
5,32,8,0.005184
5,32,8,0.005166
5,32,8,0.005239
5,32,12,0.005135
5,32,12,0.005092
5,32,12,0.019121
5,32,12,0.005225
5,32,16,0.006634
5,32,16,0.006111
5,32,16,0.005298
5,32,16,0.005084
5,64,1,0.027370
5,64,1,0.026513
5,64,1,0.027313
5,64,1,0.026090
5,64,2,0.014585
5,64,2,0.013725
5,64,2,0.013464
5,64,2,0.013391
5,64,4,0.006938
5,64,4,0.006935
5,64,4,0.007506
5,64,4,0.007421
5,64,8,0.004861
5,64,8,0.004785
5,64,8,0.004982
5,64,8,0.004929
5,64,12,0.005109
5,64,12,0.004819
5,64,12,0.004981
5,64,12,0.004866
5,64,16,0.005573
5,64,16,0.005965
5,64,16,0.005736
5,64,16,0.005503
5,128,1,0.027122
5,128,1,0.025125
5,128,1,0.026957
5,128,1,0.025819
5,128,2,0.012744
5,128,2,0.013354
5,128,2,0.013849
5,128,2,0.014029
5,128,4,0.008475
5,128,4,0.006906
5,128,4,0.006694
5,128,4,0.006983
5,128,8,0.004972
5,128,8,0.005133
5,128,8,0.005010
5,128,8,0.005060
5,128,12,0.005319
5,128,12,0.005163
5,128,12,0.006133
5,128,12,0.005206
5,128,16,0.006229
5,128,16,0.005785
5,128,16,0.006996
5,128,16,0.006229
7,4,1,0.025006
7,4,1,0.026597
7,4,1,0.025012
7,4,1,0.025845
7,4,2,0.019384
7,4,2,0.020783
7,4,2,0.021096
7,4,2,0.018899
7,4,4,0.015451
7,4,4,0.011773
7,4,4,0.012034
7,4,4,0.011869
7,4,8,0.006391
7,4,8,0.006704
7,4,8,0.009982
7,4,8,0.006900
7,4,12,0.007366
7,4,12,0.007248
7,4,12,0.007080
7,4,12,0.007544
7,4,16,0.007518
7,4,16,0.005838
7,4,16,0.006160
7,4,16,0.006365
7,8,1,0.025862
7,8,1,0.028090
7,8,1,0.025165
7,8,1,0.024466
7,8,2,0.020913
7,8,2,0.019813
7,8,2,0.019558
7,8,2,0.019473
7,8,4,0.011646
7,8,4,0.022274
7,8,4,0.011892
7,8,4,0.011880
7,8,8,0.010688
7,8,8,0.010950
7,8,8,0.009473
7,8,8,0.008550
7,8,12,0.021191
7,8,12,0.010299
7,8,12,0.007947
7,8,12,0.007032
7,8,16,0.006476
7,8,16,0.006421
7,8,16,0.006808
7,8,16,0.006820
7,16,1,0.027336
7,16,1,0.027544
7,16,1,0.034460
7,16,1,0.024850
7,16,2,0.025360
7,16,2,0.020828
7,16,2,0.018769
7,16,2,0.020045
7,16,4,0.015199
7,16,4,0.017163
7,16,4,0.011966
7,16,4,0.011283
7,16,8,0.006873
7,16,8,0.009216
7,16,8,0.009909
7,16,8,0.010645
7,16,12,0.007096
7,16,12,0.007589
7,16,12,0.007140
7,16,12,0.019088
7,16,16,0.006487
7,16,16,0.006451
7,16,16,0.006461
7,16,16,0.006760
7,32,1,0.025420
7,32,1,0.024246
7,32,1,0.026393
7,32,1,0.027180
7,32,2,0.020904
7,32,2,0.023214
7,32,2,0.020177
7,32,2,0.019285
7,32,4,0.012063
7,32,4,0.012924
7,32,4,0.012388
7,32,4,0.012107
7,32,8,0.007066
7,32,8,0.006674
7,32,8,0.009678
7,32,8,0.008313
7,32,12,0.007900
7,32,12,0.007261
7,32,12,0.007109
7,32,12,0.008059
7,32,16,0.006758
7,32,16,0.006883
7,32,16,0.006021
7,32,16,0.006919
7,64,1,0.025766
7,64,1,0.024255
7,64,1,0.025616
7,64,1,0.025678
7,64,2,0.019500
7,64,2,0.019825
7,64,2,0.019897
7,64,2,0.020819
7,64,4,0.012011
7,64,4,0.011587
7,64,4,0.011654
7,64,4,0.014379
7,64,8,0.009140
7,64,8,0.009519
7,64,8,0.009478
7,64,8,0.007029
7,64,12,0.011996
7,64,12,0.007895
7,64,12,0.007740
7,64,12,0.007555
7,64,16,0.005691
7,64,16,0.008232
7,64,16,0.006713
7,64,16,0.006866
7,128,1,0.025524
7,128,1,0.026719
7,128,1,0.028048
7,128,1,0.027181
7,128,2,0.021204
7,128,2,0.019244
7,128,2,0.018502
7,128,2,0.020272
7,128,4,0.013147
7,128,4,0.011492
7,128,4,0.011757
7,128,4,0.011624
7,128,8,0.009605
7,128,8,0.010580
7,128,8,0.009761
7,128,8,0.010604
7,128,12,0.008437
7,128,12,0.006999
7,128,12,0.007021
7,128,12,0.007385
7,128,16,0.006530
7,128,16,0.006547
7,128,16,0.006189
7,128,16,0.006435
