n,threads,time
10000000,1,0.171435
10000000,1,0.158158
10000000,1,0.137061
10000000,1,0.133425
10000000,2,0.077905
10000000,2,0.078513
10000000,2,0.079860
10000000,2,0.082406
10000000,4,0.048877
10000000,4,0.057288
10000000,4,0.052502
10000000,4,0.045569
10000000,8,0.028099
10000000,8,0.029145
10000000,8,0.027663
10000000,8,0.027437
10000000,16,0.030744
10000000,16,0.027008
10000000,16,0.029389
10000000,16,0.029803
10000000,32,0.027190
10000000,32,0.025306
10000000,32,0.025122
10000000,32,0.027269
100000000,1,1.394453
100000000,1,1.473391
100000000,1,1.442286
100000000,1,1.401373
100000000,2,0.783035
100000000,2,0.775591
100000000,2,0.769386
100000000,2,0.768427
100000000,4,0.440023
100000000,4,0.439480
100000000,4,0.459312
100000000,4,0.452195
100000000,8,0.312330
100000000,8,0.289517
100000000,8,0.274764
100000000,8,0.280762
100000000,16,0.254799
100000000,16,0.265105
100000000,16,0.281235
100000000,16,0.276649
100000000,32,0.257336
100000000,32,0.249486
100000000,32,0.265193
100000000,32,0.264432
1000000000,1,14.447001
1000000000,1,14.179802
1000000000,1,15.652718
1000000000,1,14.812670
1000000000,2,7.924409
1000000000,2,7.820321
1000000000,2,7.847669
1000000000,2,7.778676
1000000000,4,5.002247
1000000000,4,4.783439
1000000000,4,4.725160
1000000000,4,4.883160
1000000000,8,3.102042
1000000000,8,3.004622
1000000000,8,3.341171
1000000000,8,3.181159
1000000000,16,2.778705
1000000000,16,2.870478
1000000000,16,2.732453
1000000000,16,2.920280
1000000000,32,2.651312
1000000000,32,2.689796
1000000000,32,2.713679
1000000000,32,2.687368
5000000000,1,72.156789
5000000000,1,73.400824
5000000000,1,73.916737
5000000000,1,73.444427
5000000000,2,41.059444
5000000000,2,41.262513
5000000000,2,40.492887
5000000000,2,41.780085
5000000000,4,24.448721
5000000000,4,24.116009
5000000000,4,25.181374
5000000000,4,23.497703
5000000000,8,15.368114
5000000000,8,15.554084
5000000000,8,15.760750
5000000000,8,16.398882
5000000000,16,14.644255
5000000000,16,14.680534
5000000000,16,14.254655
5000000000,16,14.099117
5000000000,32,14.821143
5000000000,32,14.020607
5000000000,32,13.625055
5000000000,32,14.203822
10000000000,1,145.109271
10000000000,1,145.645907
10000000000,1,145.636656
10000000000,1,139.522944
10000000000,2,74.606184
10000000000,2,74.719089
10000000000,2,74.961015
10000000000,2,74.634579
10000000000,4,43.622837
10000000000,4,44.894803
10000000000,4,46.038386
10000000000,4,44.844947
10000000000,8,29.694193
10000000000,8,29.664819
10000000000,8,30.827686
10000000000,8,33.144858
10000000000,16,29.268514
10000000000,16,27.023299
10000000000,16,26.050749
10000000000,16,26.286153
10000000000,32,25.737930
10000000000,32,25.110198
10000000000,32,24.919356
10000000000,32,24.481255
