method,member,insert,threads,time
./rp,0.9,0.001,2,1.4073266983032227
./rp,0.9,0.001,4,1.5747849941253662
./rp,0.9,0.001,8,1.9978952407836914
./rp,0.9,0.001,16,2.1716561317443848
./rp,0.9,0.005,2,2.7686636447906494
./rp,0.9,0.005,4,3.490490198135376
./rp,0.9,0.005,8,4.6126744747161865
./rp,0.9,0.005,16,4.602101802825928
./rp,0.9,0.05,2,36.72380876541138
./rp,0.9,0.05,4,37.390053033828735
./rp,0.9,0.05,8,38.44797492027283
./rp,0.9,0.05,16,42.62369704246521
./rp,0.95,0.001,2,1.059380054473877
./rp,0.95,0.001,4,1.198544979095459
./rp,0.95,0.001,8,1.392465353012085
./rp,0.95,0.001,16,1.502892017364502
./rp,0.95,0.005,2,2.2349705696105957
./rp,0.95,0.005,4,2.939556837081909
./rp,0.95,0.005,8,3.3392410278320312
./rp,0.95,0.005,16,3.876415729522705
./rp,0.95,0.05,2,34.46353030204773
./rp,0.95,0.05,4,36.70396399497986
./rp,0.95,0.05,8,36.6258704662323
./rp,0.95,0.05,16,40.7267861366272
./rp,0.999,0.001,2,0.6400580406188965
./rp,0.999,0.001,4,0.5806300640106201
./rp,0.999,0.001,8,0.5555639266967773
./rp,0.999,0.001,16,0.6227395534515381
./wp,0.9,0.001,2,1.2308235168457031
./wp,0.9,0.001,4,1.436617136001587
./wp,0.9,0.001,8,1.4684107303619385
./wp,0.9,0.001,16,1.9712932109832764
./wp,0.9,0.005,2,2.103288173675537
./wp,0.9,0.005,4,1.8470120429992676
./wp,0.9,0.005,8,1.9232373237609863
./wp,0.9,0.005,16,2.592425584793091
./wp,0.9,0.05,2,21.722233772277832
./wp,0.9,0.05,4,16.065449237823486
./wp,0.9,0.05,8,12.678046226501465
./wp,0.9,0.05,16,13.568407773971558
./wp,0.95,0.001,2,1.1008615493774414
./wp,0.95,0.001,4,0.9493720531463623
./wp,0.95,0.001,8,1.0103371143341064
./wp,0.95,0.001,16,1.394749641418457
./wp,0.95,0.005,2,2.133121967315674
./wp,0.95,0.005,4,1.5249278545379639
./wp,0.95,0.005,8,1.4044945240020752
./wp,0.95,0.005,16,1.8160996437072754
./wp,0.95,0.05,2,21.08727264404297
./wp,0.95,0.05,4,13.699221134185791
./wp,0.95,0.05,8,9.789158582687378
./wp,0.95,0.05,16,9.710495471954346
./wp,0.999,0.001,2,0.6581344604492188
./wp,0.999,0.001,4,0.4804966449737549
./wp,0.999,0.001,8,0.3760695457458496
./wp,0.999,0.001,16,0.3778214454650879
